publishedAtDate,title,stars
2025-03-25 19:14:54.352,COLEGIO SUBIRE,1
2025-03-06 14:15:45.457,COLEGIO SUBIRE,1
2025-02-23 16:03:56.787,COLEGIO SUBIRE,5
2025-01-30 15:44:51.209,COLEGIO SUBIRE,5
2025-01-28 13:38:32.315,COLEGIO SUBIRE,5
2025-01-24 19:59:49.113,COLEGIO SUBIRE,3
2024-11-19 22:54:31.304,COLEGIO SUBIRE,5
2024-11-07 05:44:25.952,COLEGIO SUBIRE,1
2024-10-29 19:20:36.734,COLEGIO SUBIRE,5
2024-10-06 16:53:42.815,COLEGIO SUBIRE,5
2024-09-26 04:26:50.242,COLEGIO SUBIRE,1
2024-08-25 21:53:51.646,COLEGIO SUBIRE,1
2024-08-16 00:40:57.725,COLEGIO SUBIRE,1
2024-07-05 18:38:48.366,COLEGIO SUBIRE,5
2024-06-30 14:35:07.562,COLEGIO SUBIRE,5
2024-06-29 05:17:32.073,COLEGIO SUBIRE,1
2024-06-21 00:26:57.990,COLEGIO SUBIRE,3
2024-06-18 13:52:36.303,COLEGIO SUBIRE,5
2024-06-16 02:49:28.737,COLEGIO SUBIRE,5
2024-05-17 18:41:19.417,COLEGIO SUBIRE,1
2025-03-22 11:12:33.205,Instituto de Ciencias,5
2025-02-13 13:32:39.375,Instituto de Ciencias,5
2025-02-10 22:16:59.411,Instituto de Ciencias,5
2024-10-13 04:41:15.784,Instituto de Ciencias,4
2024-10-11 00:00:34.926,Instituto de Ciencias,5
2024-09-04 20:28:25.554,Instituto de Ciencias,1
2024-08-31 02:43:16.807,Instituto de Ciencias,5
2024-06-30 23:04:14.432,Instituto de Ciencias,5
2024-06-30 15:58:29.653,Instituto de Ciencias,4
2024-05-20 19:39:42.029,Instituto de Ciencias,5
2024-04-06 00:31:21.093,Instituto de Ciencias,5
2024-03-25 03:41:05.560,Instituto de Ciencias,4
2024-03-05 14:21:43.699,Instituto de Ciencias,1
2024-02-26 12:33:56.918,Instituto de Ciencias,5
2024-01-13 07:54:52.058,Instituto de Ciencias,1
2023-12-02 17:24:28.523,Instituto de Ciencias,5
2023-11-15 09:18:27.438,Instituto de Ciencias,5
2023-11-03 00:15:34.840,Instituto de Ciencias,5
2023-09-08 04:04:11.630,Instituto de Ciencias,5
2023-09-07 16:14:31.118,Instituto de Ciencias,5
2024-05-08 02:18:52.844,COLEGIO SUBIRE,5
2024-04-23 21:39:01.011,COLEGIO SUBIRE,1
2024-04-16 00:38:12.998,COLEGIO SUBIRE,1
2024-03-11 12:40:06.300,COLEGIO SUBIRE,5
2024-03-08 00:49:54.289,COLEGIO SUBIRE,5
2024-02-19 16:57:06.114,COLEGIO SUBIRE,5
