title,publishedAtDate,stars
COLEGIO SUBIRE,2015-12-31,3.6666666666666665
COLEGIO SUBIRE,2016-12-31,3.875
COLEGIO SUBIRE,2017-12-31,3.2
COLEGIO SUBIRE,2018-12-31,3.4285714285714284
COLEGIO SUBIRE,2019-12-31,4.125
COLEGIO SUBIRE,2020-12-31,3.142857142857143
COLEGIO SUBIRE,2021-12-31,1.0
COLEGIO SUBIRE,2022-12-31,3.3333333333333335
COLEGIO SUBIRE,2023-12-31,3.4
COLEGIO SUBIRE,2024-12-31,3.380952380952381
COLEGIO SUBIRE,2025-12-31,3.3333333333333335
Colegio Alemán de Guadalajara,2014-12-31,5.0
Colegio Alemán de Guadalajara,2015-12-31,3.0
Colegio Alemán de Guadalajara,2016-12-31,5.0
Colegio Alemán de Guadalajara,2017-12-31,4.125
Colegio Alemán de Guadalajara,2018-12-31,5.0
Colegio Alemán de Guadalajara,2019-12-31,5.0
Colegio Alemán de Guadalajara,2020-12-31,5.0
Colegio Alemán de Guadalajara,2021-12-31,5.0
Colegio Alemán de Guadalajara,2022-12-31,4.428571428571429
Colegio Alemán de Guadalajara,2023-12-31,4.0
Colegio Alemán de Guadalajara,2024-12-31,4.375
Colegio Finlandés Campus Zapopan,2017-12-31,4.5
Colegio Finlandés Campus Zapopan,2018-12-31,3.75
Colegio Finlandés Campus Zapopan,2019-12-31,5.0
Colegio Finlandés Campus Zapopan,2020-12-31,1.0
Colegio Finlandés Campus Zapopan,2021-12-31,2.0
Colegio Finlandés Campus Zapopan,2022-12-31,4.9
Colegio Finlandés Campus Zapopan,2023-12-31,4.0
Colegio Finlandés Campus Zapopan,2024-12-31,3.2857142857142856
Colegio Finlandés Campus Zapopan,2025-12-31,1.0
Colegio Franco Mexicano,2015-12-31,5.0
Colegio Franco Mexicano,2016-12-31,4.285714285714286
Colegio Franco Mexicano,2017-12-31,5.0
Colegio Franco Mexicano,2018-12-31,4.6
Colegio Franco Mexicano,2019-12-31,1.5
Colegio Franco Mexicano,2020-12-31,4.166666666666667
Colegio Franco Mexicano,2021-12-31,1.0
Colegio Franco Mexicano,2022-12-31,3.875
Colegio Franco Mexicano,2023-12-31,3.0
Colegio Franco Mexicano,2024-12-31,4.714285714285714
Colegio Franco Mexicano,2025-12-31,3.0
IT Campus Guadalajara,2015-12-31,3.3333333333333335
IT Campus Guadalajara,2016-12-31,5.0
IT Campus Guadalajara,2017-12-31,4.6
IT Campus Guadalajara,2018-12-31,5.0
IT Campus Guadalajara,2019-12-31,5.0
IT Campus Guadalajara,2020-12-31,4.75
IT Campus Guadalajara,2021-12-31,5.0
IT Campus Guadalajara,2022-12-31,4.0
IT Campus Guadalajara,2023-12-31,4.454545454545454
IT Campus Guadalajara,2024-12-31,3.5
IT Campus Guadalajara,2025-12-31,3.6666666666666665
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2014-12-31,1.0
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2015-12-31,5.0
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2016-12-31,4.5
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2017-12-31,5.0
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2018-12-31,5.0
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2019-12-31,5.0
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2020-12-31,3.0
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2021-12-31,3.6666666666666665
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2022-12-31,3.2
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2023-12-31,3.111111111111111
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2024-12-31,3.375
Instituto Thomas Jefferson - Campus Valle Real • ITJ,2025-12-31,3.6666666666666665
Instituto de Ciencias,2012-12-31,5.0
Instituto de Ciencias,2013-12-31,5.0
Instituto de Ciencias,2014-12-31,5.0
Instituto de Ciencias,2015-12-31,4.5
Instituto de Ciencias,2016-12-31,4.7272727272727275
Instituto de Ciencias,2017-12-31,5.0
Instituto de Ciencias,2018-12-31,4.444444444444445
Instituto de Ciencias,2019-12-31,4.666666666666667
Instituto de Ciencias,2020-12-31,4.583333333333333
Instituto de Ciencias,2021-12-31,4.8
Instituto de Ciencias,2022-12-31,4.4
Instituto de Ciencias,2023-12-31,3.5416666666666665
Instituto de Ciencias,2024-12-31,3.75
Instituto de Ciencias,2025-12-31,5.0
ONCE MEXICO COLLEGE,2015-12-31,4.0
ONCE MEXICO COLLEGE,2016-12-31,4.666666666666667
ONCE MEXICO COLLEGE,2017-12-31,4.2
ONCE MEXICO COLLEGE,2018-12-31,1.8
ONCE MEXICO COLLEGE,2019-12-31,5.0
ONCE MEXICO COLLEGE,2020-12-31,5.0
ONCE MEXICO COLLEGE,2021-12-31,4.5
ONCE MEXICO COLLEGE,2022-12-31,3.6666666666666665
ONCE MEXICO COLLEGE,2023-12-31,4.2
ONCE MEXICO COLLEGE,2024-12-31,4.428571428571429
ONCE MEXICO COLLEGE,2025-12-31,5.0
Prepa TEC,2015-12-31,5.0
Prepa TEC,2016-12-31,4.285714285714286
Prepa TEC,2017-12-31,4.714285714285714
Prepa TEC,2018-12-31,2.5
Prepa TEC,2019-12-31,1.0
Prepa TEC,2020-12-31,3.0
Prepa TEC,2021-12-31,
Prepa TEC,2022-12-31,4.0
Prepa TEC,2023-12-31,4.428571428571429
Prepa TEC,2024-12-31,5.0
Prepa TEC,2025-12-31,5.0
Summit School,2014-12-31,5.0
Summit School,2015-12-31,5.0
Summit School,2016-12-31,4.5
Summit School,2017-12-31,4.8
Summit School,2018-12-31,5.0
Summit School,2019-12-31,5.0
Summit School,2020-12-31,5.0
Summit School,2021-12-31,2.7777777777777777
Summit School,2022-12-31,5.0
Summit School,2023-12-31,3.8181818181818183
Summit School,2024-12-31,4.166666666666667
Summit School,2025-12-31,5.0
"The American School Foundation of Guadalajara, A.C.",2013-12-31,5.0
"The American School Foundation of Guadalajara, A.C.",2014-12-31,5.0
"The American School Foundation of Guadalajara, A.C.",2015-12-31,3.8
"The American School Foundation of Guadalajara, A.C.",2016-12-31,3.8461538461538463
"The American School Foundation of Guadalajara, A.C.",2017-12-31,4.0
"The American School Foundation of Guadalajara, A.C.",2018-12-31,4.2
"The American School Foundation of Guadalajara, A.C.",2019-12-31,4.6
"The American School Foundation of Guadalajara, A.C.",2020-12-31,4.0
"The American School Foundation of Guadalajara, A.C.",2021-12-31,5.0
"The American School Foundation of Guadalajara, A.C.",2022-12-31,4.428571428571429
