title,publishedAtDate,stars,stars_running_mean
COLEGIO SUBIRE,2015-12-31,3.6666666666666665,3.6666666666666665
COLEGIO SUBIRE,2016-12-31,3.875,3.770833333333333
COLEGIO SUBIRE,2017-12-31,3.2,3.5805555555555557
COLEGIO SUBIRE,2018-12-31,3.4285714285714284,3.5011904761904766
COLEGIO SUBIRE,2019-12-31,4.125,3.58452380952381
COLEGIO SUBIRE,2020-12-31,3.142857142857143,3.5654761904761902
COLEGIO SUBIRE,2021-12-31,1.0,2.755952380952381
COLEGIO SUBIRE,2022-12-31,3.3333333333333335,2.492063492063492
COLEGIO SUBIRE,2023-12-31,3.4,2.577777777777778
COLEGIO SUBIRE,2024-12-31,3.380952380952381,3.3714285714285714
COLEGIO SUBIRE,2025-12-31,3.3333333333333335,3.3714285714285714
Colegio Alemán de Guadalajara,2014-12-31,5.0,5.0
Colegio Alemán de Guadalajara,2015-12-31,3.0,4.0
Colegio Alemán de Guadalajara,2016-12-31,5.0,4.333333333333333
Colegio Alemán de Guadalajara,2017-12-31,4.125,4.041666666666667
Colegio Alemán de Guadalajara,2018-12-31,5.0,4.708333333333333
Colegio Alemán de Guadalajara,2019-12-31,5.0,4.708333333333333
Colegio Alemán de Guadalajara,2020-12-31,5.0,5.0
Colegio Alemán de Guadalajara,2021-12-31,5.0,5.0
Colegio Alemán de Guadalajara,2022-12-31,4.428571428571429,4.809523809523809
Colegio Alemán de Guadalajara,2023-12-31,4.0,4.476190476190476
Colegio Alemán de Guadalajara,2024-12-31,4.375,4.267857142857143
Colegio Finlandés Campus Zapopan,2017-12-31,4.5,4.5
Colegio Finlandés Campus Zapopan,2018-12-31,3.75,4.125
Colegio Finlandés Campus Zapopan,2019-12-31,5.0,4.416666666666667
Colegio Finlandés Campus Zapopan,2020-12-31,1.0,3.25
Colegio Finlandés Campus Zapopan,2021-12-31,2.0,2.6666666666666665
Colegio Finlandés Campus Zapopan,2022-12-31,4.9,2.6333333333333333
Colegio Finlandés Campus Zapopan,2023-12-31,4.0,3.6333333333333333
Colegio Finlandés Campus Zapopan,2024-12-31,3.2857142857142856,4.061904761904763
Colegio Finlandés Campus Zapopan,2025-12-31,1.0,2.7619047619047614
